l_x,l_y,l_yaw,s_x,s_y,s_yaw,r_x,r_y,r_yaw
-2242.876221,609.487488,12.33161034602233,-2433.060791,669.296997,-13.788774048311728,-2637.660645,535.708252,-42.14985278917826
-2243.235596,610.798218,16.359523087269476,-2434.410156,670.354797,-11.279990998555698,-2637.294434,535.940613,-42.549356749723664
-2243.800537,610.19165,11.224839264394799,-2433.773682,670.163513,-10.575211175981876,-2637.258057,535.575317,-43.030065946707985
-2243.738037,611.396362,17.751520240802602,-2433.462646,669.930542,-9.848918611291326,-2637.019775,535.713928,-42.992432434768716
-2242.874023,610.343567,13.443674460812117,-2432.93042,668.996948,-13.478841381450799,-2637.064697,535.701965,-42.95692781438348
-2243.80542,611.402893,17.57806148743027,-2432.699951,669.03479,-14.016562856901635,-2637.248291,535.578613,-43.03706751431576
-2242.894287,610.005493,12.438243271553969,-2433.664062,670.117554,-15.321672211554613,-2636.570312,535.61908,-42.84659935455343
-2243.206543,610.967712,14.569778530564363,-2433.650879,667.578918,-11.115450425757526,-2636.940918,535.769897,-43.16993269509724
-2245.117188,611.439575,9.168412071243829,-2433.461426,669.185059,-12.284785896629499,-2637.021729,536.051636,-42.433253124544635
-2243.483643,610.179626,11.939510199328549,-2433.451416,669.972412,-9.149901979868588,-2627.880615,537.492798,-40.484231178321295
-2240.594727,612.166138,10.89820144716132,-2433.461182,670.331116,-10.440408211943332,-2636.953125,535.72345,-43.05026894842254
-2242.737793,610.210632,12.494994659532782,-2434.654053,670.549133,-10.678454719485089,-2636.736328,535.495361,-42.71780321613112
-2243.25415,610.264221,11.33061914321035,-2433.083496,669.174805,-14.074013095888837,-2636.883789,535.463013,-43.18967561546807
-2243.186279,609.8479,13.172963257236798,-2433.061035,669.00354,-13.451519624365128,-2634.53833,536.650818,-41.98785321855811
-2243.441162,611.940735,18.747117113188295,-2432.79541,669.373962,-14.066581805845173,-2637.205566,535.989197,-42.05487715774591
-2242.905762,610.658081,14.4714234058399,-2432.757568,669.174927,-13.846756449623713,-2637.403564,536.084106,-43.493485878150736
-2233.187744,625.524109,12.047027279097808,-2432.945557,669.3479,-14.023514253267901,-2636.750244,535.715759,-43.24939948037133
-2243.433838,610.086487,11.11616350152832,-2432.742432,669.341248,-14.093007241368843,-2637.080566,536.021301,-43.4146198900042
-2243.355469,610.108215,11.169119474291508,-2433.712646,670.672668,-9.121711175352125,-2636.870117,536.036499,-42.87634053124837
-2244.067627,610.190491,10.497010996211491,-2433.756592,670.817566,-9.182960679962795,-2636.893066,535.970886,-42.8102942548431
-2243.5354,610.002014,11.142124425261544,-2432.849121,669.207153,-14.231878079080927,-2636.99707,535.838989,-43.26339597885158
-2241.918701,610.088196,12.288606359302262,-2433.655029,670.323181,-9.558460345865214,-2636.856445,535.532043,-43.24144197627892
-2243.019531,609.868774,12.1376780300767,-2432.70166,669.272827,-13.909301062479837,-2636.78833,535.233337,-43.06097514661633
-2242.964844,609.488281,12.302923150512335,-2432.911865,669.216003,-12.935779261533309,-2638.320801,536.013306,-43.14103046652628
-2243.843262,610.358765,10.399642382234347,-2432.740967,669.182129,-13.336793807754487,-2636.501465,535.526123,-42.94812500287814
